iter	Passed	Remaining
692	2915	1291
693	2918	1287
694	2922	1282
695	2927	1278
696	2930	1274
697	2935	1269
698	2939	1265
699	2943	1261
700	2947	1257
701	2951	1253
702	2955	1248
703	2960	1244
704	2964	1240
705	2968	1236
706	2972	1231
707	2976	1227
708	2980	1223
709	2984	1219
710	2988	1214
711	2993	1210
712	2997	1206
713	3001	1202
714	3005	1197
715	3009	1193
716	3013	1189
717	3017	1185
718	3021	1180
719	3025	1176
720	3029	1172
721	3034	1168
722	3038	1164
723	3042	1159
724	3046	1155
725	3051	1151
726	3055	1147
727	3059	1143
728	3063	1138
729	3067	1134
730	3071	1130
731	3076	1126
732	3081	1122
733	3085	1118
734	3089	1113
735	3093	1109
736	3098	1105
737	3102	1101
738	3106	1096
739	3110	1092
740	3115	1088
741	3119	1084
742	3123	1080
743	3127	1076
744	3132	1072
745	3135	1067
746	3140	1063
747	3144	1059
748	3148	1055
749	3152	1050
750	3157	1046
751	3161	1042
752	3165	1038
753	3170	1034
754	3174	1030
755	3178	1025
756	3183	1021
757	3187	1017
758	3191	1013
759	3195	1008
760	3199	1004
761	3203	1000
762	3208	996
763	3212	992
764	3216	988
765	3221	984
766	3226	980
767	3230	975
768	3235	971
769	3239	967
770	3243	963
771	3248	959
772	3252	955
773	3256	950
774	3261	946
775	3266	942
776	3270	938
777	3275	934
778	3279	930
779	3283	926
780	3287	921
781	3291	917
782	3295	913
783	3300	909
784	3304	904
785	3308	900
786	3312	896
787	3316	892
788	3320	887
789	3324	883
790	3328	879
791	3332	875
792	3336	870
793	3340	866
794	3344	862
795	3348	858
796	3352	853
797	3356	849
798	3360	845
799	3364	841
800	3368	836
801	3372	832
802	3376	828
803	3380	824
804	3384	819
805	3388	815
806	3392	811
807	3396	807
808	3400	802
809	3404	798
810	3409	794
811	3413	790
812	3417	786
813	3421	781
814	3425	777
815	3429	773
816	3434	769
817	3438	765
818	3444	761
819	3448	756
820	3452	752
821	3457	748
822	3462	744
823	3466	740
824	3470	736
825	3475	732
826	3479	727
827	3483	723
828	3487	719
829	3491	715
830	3495	710
831	3499	706
832	3503	702
833	3507	698
834	3511	693
835	3515	689
836	3519	685
837	3523	681
838	3528	677
839	3532	672
840	3536	668
841	3540	664
842	3544	660
843	3549	655
844	3553	651
845	3558	647
846	3562	643
847	3567	639
848	3572	635
849	3576	631
850	3580	626
851	3586	622
852	3590	618
853	3595	614
854	3599	610
855	3604	606
856	3608	602
857	3612	597
858	3619	594
859	3623	589
860	3628	585
861	3634	581
862	3638	577
863	3642	573
864	3648	569
865	3653	565
866	3657	561
867	3661	556
868	3667	552
869	3671	548
870	3675	544
871	3681	540
872	3685	536
873	3689	531
874	3694	527
875	3699	523
876	3703	519
877	3707	515
878	3713	511
879	3718	507
880	3721	502
881	3726	498
882	3731	494
883	3735	490
884	3739	485
885	3743	481
886	3747	477
887	3751	473
888	3755	468
889	3760	464
890	3764	460
891	3769	456
892	3773	452
893	3778	448
894	3782	443
895	3786	439
896	3791	435
897	3795	431
898	3800	426
899	3804	422
900	3808	418
901	3813	414
902	3817	410
903	3822	405
904	3826	401
905	3831	397
906	3835	393
907	3840	389
908	3844	384
909	3848	380
910	3852	376
911	3858	372
912	3862	368
913	3866	363
914	3871	359
915	3875	355
916	3879	351
917	3883	346
918	3888	342
919	3892	338
920	3896	334
921	3900	329
922	3905	325
923	3909	321
924	3913	317
925	3917	313
926	3921	308
927	3926	304
928	3930	300
929	3935	296
930	3940	292
931	3944	287
932	3949	283
933	3955	279
934	3961	275
935	3967	271
936	3972	267
937	3976	262
938	3980	258
939	3987	254
940	3991	250
941	3995	246
942	4001	241
943	4006	237
944	4010	233
945	4018	229
946	4022	225
947	4027	220
948	4033	216
949	4038	212
950	4042	208
951	4048	204
952	4052	199
953	4058	195
954	4064	191
955	4068	187
956	4072	183
957	4077	178
958	4081	174
959	4085	170
960	4090	165
961	4094	161
962	4098	157
963	4102	153
964	4107	148
965	4111	144
966	4115	140
967	4119	136
968	4123	131
969	4128	127
970	4132	123
971	4136	119
972	4139	114
973	4143	110
974	4148	106
975	4151	102
976	4155	97
977	4159	93
978	4164	89
979	4168	85
980	4172	80
981	4176	76
982	4180	72
983	4184	68
984	4188	63
985	4192	59
986	4196	55
987	4199	51
988	4203	46
989	4207	42
990	4212	38
991	4215	33
992	4219	29
993	4224	25
994	4228	21
995	4233	17
996	4237	12
997	4241	8
998	4245	4
999	4249	0
